Name,Counter ID,Model,Population,CycleComm,CycleCommM,CycleCommF,InLaborForce,NotInLaborForce,TotalInc,HousingUnits,UnitsOcc,UnitsVac,OwnerOcc,RenterOcc,MovedIn2010-12,MovedIn2000-09,Vehicles0,Vehicles1,Households,NumStudents3up,Hsgrad,Bachelor,Master,Foreign,Noncitizen,IncomePerCap,MeanHousInc
Fairfax EB bike lane,16,Eco-Counter Zelt Loop,15441.06109,92.60142124,53.33635112,39.26507012,11628.12901,2758.502866,1152411494,9307.373675,8349.491416,957.8822594,2915.715859,5433.775557,1497.822126,5805.144513,1501.037034,4812.195033,8349.491416,2649.016842,645.9601815,4287.67335,5857.640933,2762.872808,1589.903361,74632.9211,138021.7592
Fairfax WB bike lane,15,Eco-Counter Zelt Loop,14458.33947,98.29474504,57.80484276,40.48990228,10824.50927,2577.503988,1090314368,8637.276308,7745.788712,891.4875955,2789.01027,4956.778442,1358.191266,5355.970999,1333.264258,4462.312599,7745.788712,2503.167245,589.9789437,4108.363145,5514.873739,2497.144851,1403.220815,75410.76001,140762.2139
Wilson WB bike lane,21,Eco-Counter Zelt Loop,15041.95563,217.8239164,169.4406641,48.38325232,11626.90301,1973.724283,1163921374,9305.660297,7748.024276,1557.636021,2489.64068,5258.383596,1633.922735,5103.883469,850.7902131,4752.003262,7748.024276,2342.226263,584.4710977,4683.711512,5672.150138,3123.880401,1653.458873,77378.32783,150221.6995
Clarendon EB bike lane,22,Eco-Counter Zelt Loop,14602.8401,211.9326449,166.8023092,45.13033573,11334.25953,1858.157393,1143799528,9024.492192,7501.730439,1522.761753,2410.281788,5091.448651,1593.826051,4912.747057,806.2109543,4594.80991,7501.730439,2275.801396,558.1600139,4529.341395,5509.631189,3037.143253,1625.754383,78327.19663,152471.4248
Military SB bike lane,23,Eco-Counter Zelt Loop,3303.702501,33.30107775,25.74443064,7.556647114,1773.807891,739.6417402,254358654.7,1159.225447,1102.277956,56.94749164,901.5661588,200.7117967,71.33420068,495.3633142,17.6841142,225.681337,1102.277956,868.720792,127.8421891,759.5801753,1044.46056,419.1848777,250.4556374,76991.99751,230757.2726
Military NB bike lane,24,Eco-Counter Zelt Loop,3323.266863,33.61134185,25.93567672,7.675665131,1786.248238,741.600935,255275361.6,1167.383079,1110.121572,57.26150749,905.7190041,204.4025677,72.18605325,499.6956666,18.22775775,228.9681245,1110.121572,871.2782906,129.6042702,766.3405498,1049.185399,422.6398956,253.1610598,76814.58398,229952.6178
Joyce St SB,28,Eco-Counter Multi,6269.117456,72.76226657,63.97688075,8.785385821,4527.151264,1334.540907,408467711.6,4745.800575,3608.527175,1137.2734,863.80367,2744.723505,976.6239604,2008.496926,636.0043205,2200.643355,3608.527175,996.6728716,510.257969,1514.45282,2172.790314,1659.5719,1103.709513,65155.53655,113195.1325
Joyce St NB,29,Eco-Counter Multi,6292.981005,72.3302808,63.79916335,8.53111745,4550.231779,1343.299774,412375645.9,4792.124859,3635.224917,1156.899942,856.4641086,2778.760808,987.8310657,2029.967305,643.1993386,2221.38396,3635.224917,991.6681003,507.5056779,1525.803906,2199.24919,1665.646818,1110.248333,65529.45982,113438.8257
Crystal NB bike lane,20,Eco-Counter Zelt Loop,7606.861383,23.31956425,21.26961101,2.049953242,6031.336409,1198.766918,530952298.3,5703.637991,4377.344339,1326.293651,526.8192474,3850.525092,1072.633031,2859.72854,664.5525095,2637.704204,4377.344339,1334.80311,308.1386962,2344.787668,2820.526196,1706.880514,1067.668919,69799.12891,121295.5292
Crystal SB bike lane,19,Eco-Counter Zelt Loop,5997.117469,31.20951905,26.61363443,4.595884621,4697.260921,914.3800079,410449469.7,4202.977883,3313.958237,889.0196462,581.6542056,2732.304031,755.715026,2100.453706,483.4090861,1885.30009,3313.958237,1108.7328,199.3086608,1975.869622,2077.354398,1231.464536,742.8999539,68441.12556,123854.7502
Mobile Pyrobox 03,4,Eco-Counter PyroBox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
Mobile Pyrobox 06,13,Eco-Counter PyroBox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
Mobile Pyrobox 07,30,Eco-Counter PyroBox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
